session_id,user_id,campaign_id,page_url,referrer_url,timestamp,device_type,country
S0004519,U009435,,/checkout,,9/23/25 14:10,desktop,United States
S0006773,U000647,C00069,/product/1828,https://partnerblog.example.com/,1/3/24 4:24,mobile,Brazil
S0002279,U000705,C00146,/checkout,http://www.google.com/,7/9/25 15:12,mobile,United States
S0002720,U007287,,/home,,6/24/25 23:55,desktop,United States
S0005886,U007840,C00591,/cart,https://www.instagram.com/,1/21/25 15:59,mobile,United States
S0001143,U005474,,/cart,https://t.co/,4/20/25 0:13,desktop,United States
S0008117,,,/product/2213,,4/10/25 0:43,mobile,Germany
S0005214,U001265,C00039,/home,https://mail.google.com/,12/22/24 1:59,desktop,United States
S0001422,U000944,,/home,https://www.google.com/,8/14/24 1:02,mobile,Canada
S0002412,U002209,,/category/bedroom,https://www.google.com/,9/10/25 17:27,mobile,United States
S0009525,U003582,,/home,https://t.co/,5/5/25 8:10,tablet,India
S0003861,U009716,,/home,,7/27/24 0:00,mobile,United States
S0005663,U003396,C00597,/home,https://mail.google.com/,9/10/25 0:47,mobile,Germany
S0009122,U007327,,/category/bedroom,,4/15/25 20:52,mobile,United States
S0004025,,C00435,/product/0190,https://www.google.com/,3/30/25 16:53,mobile,United States
S0004630,,C00146,/home,https://www.google.com/,,tablet,United States
S0007106,U002093,,/category/outdoor,,3/24/25 20:09,mobile,United States
S0006027,U005355,,/category/decor,,7/2/25 3:01,mobile,United States
S0004274,U006271,,/category/lighting,,8/7/25 7:45,desktop,United States
S0003562,,C00044,/help,https://mail.google.com/,11/27/25 22:39,mobile,Canada
S0006731,U001398,,/product/0504,,8/4/25 17:33,desktop,United States
S0002544,U009295,C00139,/home,,1/1/26 22:59,mobile,United States
S0009286,U001670,C00419,/home,https://mail.google.com/,2/3/25 14:51,desktop,United States
S0006661,U000924,,/product/2037,,12/11/24 8:39,desktop,United States
S0006470,,C00136,/product/1123,,12/26/24 16:31,mobile,United States
S0004250,U000890,,/product/1128,,9/10/25 12:04,tablet,United States
S0003142,U007508,,/home,https://t.co/,7/5/25 12:06,mobile,United States
S0000181,U008146,C00780,/home,https://t.co/,5/28/25 11:47,mobile,United States
S0009419,,C00477,/home,,8/2/24 5:34,desktop,United States
S0008438,U001832,C00112,/category/office,,3/17/24 20:11,desktop,United States
S0009108,,,/home,,9/28/24 23:17,mobile,United States
S0007381,U004103,C00174,/returns,,,mobile,United States
S0006067,U007412,C00044,/home,https://partnerblog.example.com/,7/19/25 0:10,tablet,Canada
S0004921,,C00605,/home,,7/16/24 15:55,desktop,Canada
S0002543,U001822,C00765,/search?q=cutting+board,https://mail.google.com/,3/26/24 7:38,mobile,United States
S0004098,U001119,C00666,/cart,http://www.google.com/,3/31/25 11:59,desktop,Canada
S0008636,U009658,C00759,/product/2091,https://t.co/,10/3/24 8:01,mobile,United States
S0002791,U006769,C00551,/home,https://www.google.com/,6/15/24 11:57,desktop,Canada
S0001849,U000204,,/cart,https://partnerblog.example.com/,2/11/24 21:27,desktop,United States
S0005659,,,/category/kitchen,https://www.google.com/,6/20/25 0:34,mobile,United Kingdom
S0006279,U006171,,/cart,https://www.google.com/,11/6/25 8:40,desktop,United Kingdom
S0001667,U001058,,/search?q=rug,https://t.co/,9/5/24 21:17,desktop,Germany
S0006983,,,/product/1051,https://mail.google.com/,6/7/25 13:08,mobile,United States
S0005053,,,/cart,,5/3/24 20:06,desktop,United States
S0008644,,C00615,/product/0506,,7/31/25 0:15,desktop,United States
S0000651,,C00017,/checkout,,5/6/25 16:31,mobile,United States
S0004719,,C00626,/category/bedroom,https://www.facebook.com/,1/31/24 22:31,mobile,Australia
S0008893,U005849,,/product/0131,,6/8/25 2:31,mobile,Canada
S0001624,U008410,C00727,/product/0150,https://partnerblog.example.com/,12/7/24 12:08,mobile,United States
S0001086,U000737,C00146,/home,https://www.google.com/,3/25/24 21:28,mobile,United States
S0008241,U008288,C00780,/home,https://t.co/,11/21/24 3:23,mobile,United States
S0006582,U003459,C00054,/search?q=dish towel,,5/12/25 16:43,desktop,United States
S0003904,U003913,C00718,/product/1799,https://mail.google.com/,5/10/25 8:24,mobile,Germany
S0000841,U001619,C00087,/search?q=rug,,6/21/25 8:38,mobile,United States
S0004726,U008618,C00030,/product/1880,https://www.pinterest.com/,8/16/24 4:12,desktop,Brazil
S0006482,U009793,,/home,,8/18/24 19:26,desktop,United States
S0009581,U002421,C00496,/product/1481,https://www.google.com/,10/24/25 8:53,mobile,United States
S0003436,U007838,C00645,/product/1484,,7/26/24 5:14,mobile,United States
S0009100,,C00217,/home,https://www.instagram.com/,8/20/24 21:32,desktop,United States
S0003605,U005871,,/search?q=blanket,,7/27/25 11:17,desktop,United States
S0005094,U002315,C00172,/search?q=storage bins,https://mail.google.com/,6/13/25 12:11,mobile,United States
S0002036,,,/product/1896,,7/23/24 10:42,desktop,United States
S0005686,U000904,,/category/bedroom,,8/27/25 2:03,desktop,United States
S0006875,U004858,C00094,/category/decor,http://www.facebook.com/,9/5/25 14:32,mobile,United States
S0006725,U003273,C00494,/category/decor,,1/27/24 12:55,mobile,United States
S0002399,U003715,,/product/0499,,5/24/25 21:51,mobile,United States
S0001848,,C00006,/category/outdoor,https://www.facebook.com/,1/20/25 10:43,desktop,United States
S0007597,,C00020,/home,https://www.bing.com/,2/3/24 4:55,desktop,United States
S0008123,U004088,,/product/2519,,3/23/24 22:09,mobile,Canada
S0005378,U006842,,/product/0526,https://www.google.com/,5/5/25 20:07,desktop,United States
S0007749,U007606,C00411,/checkout,http://www.google.com/,8/21/25 17:28,mobile,Canada
S0001794,,,/product/2228,,12/11/25 0:07,mobile,Germany
S0005488,U000625,C00597,/checkout,https://www.facebook.com/,7/21/24 13:18,mobile,India
S0003150,U005486,,/product/2106,https://www.google.com/,,mobile,Australia
S0004597,,,/home,,6/7/24 20:22,mobile,United States
S0004119,U003726,,/category/new,https://www.google.com/,3/24/25 15:05,mobile,United States
S0001150,U000706,C00102,/category/decor,https://partnerblog.example.com/,5/15/25 22:49,mobile,United States
S0007244,,C00215,/home,https://partnerblog.example.com/,12/3/25 19:37,desktop,United States
S0007435,U000140,,/cart,https://partnerblog.example.com/,6/7/24 18:48,mobile,Canada
S0004986,U007885,,/product/0454,https://www.google.com/,7/7/25 12:24,desktop,United States
S0002097,,C00215,/cart,https://t.co/,7/12/24 21:13,desktop,United States
S0001111,U001853,,/category/lighting,,8/2/25 16:45,mobile,United States
S0001097,U003653,,/category/kitchen,https://www.facebook.com/,12/5/25 14:09,mobile,United States
S0005440,U002912,C00136,/checkout,https://www.facebook.com/,9/12/25 22:41,mobile,United States
S0006476,U001497,C00056,/product/2103,https://www.google.com/,2/26/25 5:33,mobile,United States
S0001707,U007293,C00163,/category/kitchen,https://t.co/,4/26/25 12:30,mobile,Germany
S0001109,U007852,C00020,/home,https://www.pinterest.com/,11/18/25 22:42,mobile,Brazil
S0003382,U006748,C00630,/cart,https://t.co/,12/16/24 20:57,tablet,United States
S0000816,U007140,,/help,,1/31/24 17:07,mobile,United States
S0004774,,C00571,/product/1659,http://t.co/,12/22/24 14:13,mobile,United States
S0009633,U001646,C00156,/category/storage,https://partnerblog.example.com/,7/3/24 7:20,mobile,Mexico
S0007687,U002373,,/returns,https://www.google.com/,5/12/24 0:44,desktop,Germany
S0009448,U004961,,/cart,,5/7/25 12:39,mobile,United States
S0004724,U000980,C00581,/checkout,https://www.google.com/,5/21/25 6:10,mobile,India
S0001167,U004323,,/home,,10/19/24 2:43,mobile,United States
S0004896,,,/product/0835,https://www.google.com/,5/6/24 10:36,mobile,United States
S0008306,,C00061,/search?q=vase,,1/2/26 15:32,desktop,United Kingdom
S0001957,U005452,C00281,/home,https://partnerblog.example.com/,9/23/24 4:02,mobile,Canada
S0003809,,,/help,https://www.google.com/,3/26/25 23:41,desktop,India
S0001452,,,/home,https://www.google.com/,11/3/25 18:55,mobile,United States
S0005913,U004249,C00662,/checkout,,10/7/25 23:13,mobile,United States
S0001667,,,/category/lighting,,9/5/24 21:20,desktop,Germany
S0004463,,,/product/0794,,11/11/25 17:17,desktop,United Kingdom
S0002317,U001665,C00427,/product/1663,https://mail.google.com/,12/4/24 16:47,mobile,United Kingdom
S0005144,U002275,C00759,/home,https://www.pinterest.com/,1/24/25 1:36,desktop,United States
S0007185,,C00662,/product/0107,http://mail.google.com/,2/29/24 4:48,desktop,United States
S0001368,U001600,,/product/2494,https://www.google.com/,7/26/24 4:57,mobile,United States
S0004293,U005068,C00101,/category/office,,8/18/24 14:04,mobile,United States
S0001580,U005112,,/product/2306,https://www.google.com/,4/24/25 19:59,desktop,India
S0001463,U006862,C00499,/cart,https://www.google.com/,3/4/25 3:43,mobile,United States
S0006148,,C00742,/category/sale,http://partnerblog.example.com/,1/10/26 1:17,mobile,United States
S0001618,,,/checkout,,11/16/24 16:11,desktop,United States
S0007334,U003690,,/product/2344,https://www.google.com/,5/4/25 22:35,mobile,Australia
S0005020,U007824,C00147,/category/decor,,5/22/25 14:27,mobile,United States
S0009654,U007066,,/home,https://www.facebook.com/,3/27/25 17:07,mobile,United States
S0004488,U009028,,/search?q=storage bins,https://www.google.com/,10/4/25 23:16,mobile,Germany
S0005852,U005893,C00281,/category/sale,https://www.instagram.com/,6/12/24 22:16,mobile,India
S0001432,U007829,C00420,/home,https://www.google.com/,5/11/24 5:53,mobile,United States
S0004413,,C00101,/category/kitchen,https://www.instagram.com/,1/20/25 5:28,desktop,United States
S0003607,U001515,,/home,https://www.facebook.com/,3/5/25 5:08,mobile,United States
S0000543,U002171,,/help,https://www.facebook.com/,1/30/25 9:54,mobile,United States
S0004680,U002160,,/search?q=plant stand,,9/12/25 1:21,mobile,United States
S0001662,U008263,C00101,/help,,7/13/25 16:38,mobile,Australia
