conversion_id,session_id,user_id,conversion_type,amount,timestamp,campaign_id
V0000001,S0004142,U002370,newsletter_signup,0.0,2025-02-06 08:33:45,
V0000002,S0006757,,purchase   ,53.43,2024-04-11 19:31:44,C00791
V0000003,S0005283,U006643,purchase   ,78.6,2024-05-31 17:15:00,C00348
V0000004,S0008778,,newsletter_signup,0.0,2025-01-17 08:58:44,C00651
V0000005,S0002944,U004972,newsletter_signup,0.0,2025-10-07 01:07:01,C00258
V0000006,S0004537,,newsletter_signup,0.0,2025-08-22 03:00:41,C00061
V0000007,S0008663,U004015,purchase,1.0,2024-12-10 13:12:39,
V0000008,S0000214,U001034,purchase,49.35,2025-06-11 12:08:21,C00174
V0000009,S0003632,U006196,purchase   ,55.14,2024-09-04 16:37:01,C00198
V0000010,S0003007,U008115,purchase,100.38,2025-07-13 19:50:24,
V0000011,S0006456,U008145,newsletter_signup,0.0,2025-02-04 23:11:37,
V0000012,S0009659,,newsletter_signup,0.0,2024-12-18 18:50:31,
V0000013,S0003387,,purchase,100.52,2024-11-14 12:56:00,
V0000014,S0007257,U003653,newsletter_signup,0.0,2025-12-04 21:51:02,C00044
V0000015,S0003326,U009316,newsletter_signup,0.0,2024-10-13 06:54:16,C00094
V0000016,S0002273,U008855,purchase,85.59,2025-03-04 15:09:10,
V0000017,S0009013,U002238,purchase,113.35,2024-12-26 09:53:53,C00010
V0000018,S0004805,U009216,purchase,47.85,2024-01-23 03:28:44,C00300
V0000019,S0004036,U008165,newsletter_signup,0.0,2025-01-05 09:06:40,
V0000020,S0009545,,purchase,95.08,2024-09-06 17:46:50,C00691
V0000021,S0004062,U007038,purchase,36.39,2025-10-24 00:37:28,
V0000022,S0001975,U003797,purchase,59.14,2024-01-20 18:35:37,
V0000023,S0008644,,purchase,113.79,2025-07-31 00:24:44,C00615
V0000024,S0006748,U002338,newsletter_signup,0.0,2025-07-03 20:46:38,C00342
V0000025,S0008130,U005335,newsletter_signup,0.0,2025-11-22 13:45:02,C00136
V0000026,S0000337,,purchase,75.21,2024-08-20 01:18:21,C00059
V0000027,S0007564,,newsletter_signup,0.0,2024-02-27 06:23:42,C00030
V0000028,S0006095,U008218,newsletter_signup,,2024-01-16 05:57:13,C00087
V0000029,S0009466,U009747,newsletter_signup,0.0,2025-10-09 04:20:09,C00651
V0000030,S0004875,U007089,newsletter_signup,0.0,2024-09-28 16:17:34,
V0000031,S0005141,U004894,purchase,98.26,2025-03-22 20:17:49,
V0000032,S0002210,,purchase,375.44,2025-11-12 14:57:31,C00790
V0000033,S0002592,U009065,purchase,32.91,2024-11-24 09:28:38,
V0000034,S0002667,,newsletter_signup,0.0,2024-02-09 13:18:14,C00050
V0000035,S0008097,U004020,purchase,36.15,2025-07-27 21:53:06,
