session_id,user_id,campaign_id,session_start,session_end,device_type,country,utm_campaign,utm_source,utm_medium
S0000001,,C00588,2025-11-26 11:04:23,2025-11-26 11:10:27,  mobile  ,  US  ,,organic,NONE
S0000002,U005460,C00005,,2024-03-25 07:11:12,mobile,usa   ,Summer  Sale  2025  –  Outdoor  ,facebook,  social
S0000003,U003332,,2024-11-01 11:43:46,2024-11-01 11:54:34,mobile,DE,,google,organic
S0000004,U002349,C00791,2025-11-17 09:37:14,2025-11-17 09:41:04,mobile,US,Summer Sale 2024 – Lighting,facebook,cpc
S0000005,U009888,C00677,2025-11-03 22:33:32,2025-11-03 22:41:08,desktop,US,Holiday Prep 2024 – Bath,google,none
S0000006,,C00094,2025-11-25 23:50:36,2025-11-25 23:52:47,desktop,UNITED STATES,Weekend Flash 2024 – Storage,google,social
S0000007,U006588,C00010,2025-03-20 19:23:28,2025-03-20 19:25:46,mobile,UNITED STATES,Back to School 2025 – Decor,direct,NONE
S0000008,U002842,C00063,2024-03-25 08:16:54,2024-03-25 08:21:44,desktop,France,Bundle & Save 2025 – Kitchen,organic,organic
S0000009,U008288,,2024-11-19 20:32:24,2024-11-19 20:38:19,mobile,Canada,,direct,none
S0000010,U008315,C00230,2024-07-26 05:54:20,2024-07-26 05:59:39,desktop,US,Bundle & Save 2024 – Bedroom,organic,organic
S0000011,U004124,,2025-06-24 13:03:27,2025-06-24 13:11:37,desktop,MX,,GOOGLE,none
S0000012,,,2024-04-19 00:59:30,2024-04-19 01:02:23,desktop,US,,organic,organic
S0000013,U007742,C00101,2024-02-16 19:09:01,2024-02-16 19:10:46,mobile,US,Clearance 2025 – Bedroom,organic,organic
S0000014,U006768,C00021,2024-04-14 05:35:11,,desktop,DE,Clearance 2026 – Decor,facebook,social
S0000015,U007332,C00017,2024-02-26 18:28:55,2024-02-26 18:39:00,mobile,US,Cozy Home 2024 – Decor,google,none
S0000016,U003084,C00780,2025-12-08 18:56:33,2025-12-08 18:59:24,mobile,US,,google,organic
S0000017,,C00477,2025-05-13 03:00:54,2025-05-13 03:06:36,desktop,US,Clearance 2026 – Decor,email,organic
S0000018,U005874,,2024-02-02 00:06:24,2024-02-02 00:09:55,desktop,AU,,organic,ORGANIC
