session_id,user_id,campaign_id,page_url,referrer_url,timestamp,device_type,country
S0004519,U009435,,/CHECKOUT,,2025-09-23 14:10:51,desktop,US
S0006773,U000647,C00069,/product/1828,https://partnerblog.example.com/,2024-01-03 04:24:34,mobile,BR
S0002279,U000705,C00146,/CHECKOUT,http://www.google.com/,2025-07-09 15:12:09,mobile,US
S0002720,U007287,,/home ,,2025-06-24 23:55:36,desktop,United States
S0005886,U007840,C00591,/cart,https://www.instagram.com/,2025-01-21 15:59:16,mobile,US
S0001143,U005474,,/cart,https://t.co/,2025-04-20 00:13:57,desktop,US
S0008117,,,//product/2213,,2025-04-10 00:43:18,mobile,DE
S0005214,U001265,C00039,/home,https://mail.google.com/,2024-12-22 01:59:09,desktop,US
S0001422,U000944,,/home,https://www.google.com/,2024-08-14 01:02:02,mobile,CA
S0002412,U002209,,/category/bedroom,https://www.google.com/,2025-09-10 17:27:13,mobile,US
S0009525,U003582,,/home,https://t.co/,2025-05-05 08:10:10,tablet,IN  
S0003861,U009716,,/home,,2024-07-27 00:00:53,mobile,us
S0005663,U003396,C00597,/home,https://mail.google.com/,2025-09-10 00:47:15,mobile,DE
S0009122,U007327,,/category/bedroom ,,2025-04-15 20:52:30,mobile,US
S0004025,,C00435,/product/0190,https://www.google.com/  ,2025-03-30 16:53:27,mobile,US
S0004630,,C00146,/home,https://www.google.com/,,tablet,US
S0007106,U002093,,/category/outdoor,,2025-03-24 20:09:22,mobile,US
S0006027,U005355,,/Category/decor,,2025-07-02 03:01:39,mobile,US
S0004274,U006271,,/category/lighting,,2025-08-07 07:45:25,desktop, US 
S0003562,,C00044,/help,https://mail.google.com/,2025-11-27 22:39:14,mobile,CA
S0006731,U001398,,/product/0504,,2025-08-04 17:33:48, desktop   ,usa
S0002544,U009295,C00139,/home,,2026-01-01 22:59:37,mobile,US
S0009286,U001670,C00419,/home,https://mail.google.com/ ,2025-02-03 14:51:41,desktop,US
S0006661,U000924,,/product/2037,,2024-12-11 08:39:45,desktop,US
S0006470,,C00136,/product/1123,,2024-12-26 16:31:08,mobile,US
S0004250,U000890,,/product/1128,,2025-09-10 12:04:44,tablet,US
S0003142,U007508,,/home,https://t.co/,2025-07-05 12:06:24,mobile,US
S0000181,U008146,C00780,//home,https://t.co/,2025-05-28 11:47:22,mobile,US
S0009419,,C00477,/HOME,,2024-08-02 05:34:52,desktop,US
S0008438,U001832,C00112,/category/office,,2024-03-17 20:11:06,desktop,US
S0009108,,,/home,,2024-09-28 23:17:32,mobile,US
S0007381,U004103,C00174,/returns,,2025-13-01 10:00:00,mobile,usa
S0006067,U007412,C00044,//home,https://partnerblog.example.com/,2025-07-19 00:10:55,tablet,CA
S0004921,,C00605,/home  ,,2024-07-16 15:55:39,DESKTOP,CA
S0002543,U001822,C00765,/search?q=cutting+board,https://mail.google.com/,2024-03-26 07:38:46,mobile,US
S0004098,U001119,C00666,/cart,http://www.google.com/,2025-03-31 11:59:27,desktop,CA
S0008636,U009658,C00759,/product/2091,https://t.co/,2024-10-03 08:01:12,mobile,UNITED STATES
